ID,CCT,NOMBRE,TURNO,NIVEL,MATRICULA (TOTAL DE ALUMNOS) CICLO 2016-2017,MUNICIPIO,LOCALIDAD,CALLE Y NUMERO,COLONIA,REGION
148,31DJN0087V,GONZALO CAMARA ZAVALA,MATUTINO,PREESCOLAR,119,CONKAL,CONKAL,CALLE 22,MERIDA,PROGRESO
149,31DJN2026V,TUNBEN KIN,MATUTINO,PREESCOLAR,127,CONKAL,CONKAL,CALLE 23 76,MERIDA,PROGRESO
150,31KJN0362T,PREESCOLAR COMUNITARIO,DISCONTINUO,PREESCOLAR,27,CONKAL,CONKAL,,MERIDA,PROGRESO
151,31PJN0326J,MANO AMIGA CONKAL,MATUTINO,PREESCOLAR,83,CONKAL,CONKAL,,MERIDA,PROGRESO
152,31DJN0026H,MARIANO SILVA Y ACEVES,MATUTINO,PREESCOLAR,85,CONKAL,X-CUYUM,CALLE 16,MERIDA,PROGRESO
153,31DPR0187K,MARGARITA MAZA DE JUAREZ,MATUTINO,PRIMARIA,158,CONKAL,CONKAL,CALLE 15,MERIDA,PROGRESO
154,31DPR0855L,MARCIAL CERVERA BUENFIL,MATUTINO,PRIMARIA,157,CONKAL,CONKAL,CALLE 24 110,MERIDA,PROGRESO
155,31DPR0873A,RAFAEL RAMIREZ CASTAÑEDA,MATUTINO,PRIMARIA,177,CONKAL,CONKAL,CALLE 8 74,MERIDA,PROGRESO
156,31EPR0010W,RODOLFO MENENDEZ DE LA PEÑA,MATUTINO,PRIMARIA,278,CONKAL,CONKAL,CALLE 21 103 A,MERIDA,PROGRESO
157,31PPR0329X,CENTRO EDUCATIVO MANO AMIGA CONKAL,MATUTINO,PRIMARIA,200,CONKAL,CONKAL,,MERIDA,PROGRESO
158,31DPR0919F,EULALIO CASARES GALERA,MATUTINO,PRIMARIA,205,CONKAL,X-CUYUM,CALLE 14,MERIDA,PROGRESO
159,31EES0020W,DIEGO LOPE DE COGOLLUDO,VESPERTINO,SECUNDARIA,349,CONKAL,CONKAL,CALLE 19,MERIDA,PROGRESO
160,31PES0119L,CENTRO EDUCATIVO MANO AMIGA,MATUTINO,SECUNDARIA,102,CONKAL,CONKAL,,MERIDA,PROGRESO
161,31ETV0074F,REPUBLICA DE MEXICO,MATUTINO,SECUNDARIA,57,CONKAL,X-CUYUM,,MERIDA,PROGRESO
162,31DCC0108B,CECILIO CHI,MATUTINO,PREESCOLAR,46,CUNCUNUL,CUNCUNUL,,VALLADOLID,
